Date,AAPL_bm,AMT_bm,AMZN_bm,BA_bm,BAC_bm,BHP_bm,COR_bm,CVX_bm,DUK_bm,DVA_bm,ECL_bm,GE_bm,GOOGL_bm,JPM_bm,KO_bm,LLY_bm,META_bm,MMM_bm,MSFT_bm,NEE_bm,NKE_bm,NVDA_bm,PEP_bm,PG_bm,PLD_bm,RIO_bm,SBUX_bm,SLB_bm,SO_bm,SPG_bm,VZ_bm,WFC_bm,XOM_bm
2020-05-29,75.73781280517578,216.7925994873047,119.70920066833496,132.89900131225585,20.757374382019044,33.066894149780275,84.85534591674805,77.04922485351562,70.6142478942871,79.18900032043457,190.17658386230468,38.681337928771974,69.0686248779297,81.96270484924317,39.969522857666014,146.54461746215821,216.319482421875,123.97243576049804,176.03886871337892,53.01563758850098,87.4133804321289,81.56451148986817,117.98206062316895,104.19885635375977,79.27999839782714,34.39117565155029,70.12281799316406,15.959934520721436,46.756486320495604,45.18077201843262,45.08696956634522,23.213818645477296,36.73746452331543
2020-06-01,76.14806365966797,218.1636070251465,120.17170066833496,133.8000015258789,20.826603507995607,33.447964668273926,85.29334373474121,77.2461498260498,70.8610710144043,79.38050003051758,191.08808822631835,38.76135368347168,69.3625,82.2022605895996,40.03090934753418,146.52273483276366,217.79991149902344,124.32999839782715,176.46175537109374,53.35751190185547,88.09697036743164,82.42998352050782,118.10932235717773,104.2184555053711,79.59051628112793,34.73910083770752,70.35178031921387,16.084085941314697,46.925032234191896,45.117422103881836,45.04428501129151,23.216092681884767,36.902082443237305
2020-06-02,76.52666625976562,219.39118423461915,120.56275062561035,134.89250106811522,20.913026332855225,33.87098760604859,85.89651985168457,77.44006156921387,71.11818466186523,79.66749992370606,192.07471389770507,39.01986541748047,69.66102523803711,82.50629653930665,40.10863571166992,146.58447036743163,219.17145690917968,124.78323020935059,176.7793113708496,53.67563533782959,88.82820205688476,83.19890365600585,118.1856803894043,104.32283401489258,79.96812324523925,35.120296478271484,70.64322166442871,16.21188735961914,47.084818840026855,45.13484344482422,45.0507890701294,23.243450164794922,37.03856506347656
2020-06-03,76.87338714599609,220.6264991760254,120.9642505645752,137.28050117492677,21.063701152801514,34.31071424484253,86.46579170227051,77.67896270751953,71.42059478759765,79.7099998474121,193.3924461364746,39.376858139038085,69.88660049438477,83.05570793151855,40.21904277801514,146.3647659301758,220.3247329711914,125.4284122467041,177.02604064941406,54.02778224945068,89.65195198059082,83.90952033996582,118.23703193664551,104.43769454956055,80.40239486694335,35.55493783950806,70.97150611877441,16.373743104934693,47.24496154785156,45.623033714294436,45.06379776000976,23.383038806915284,37.25730667114258
2020-06-04,77.14845123291016,221.64917755126953,121.23760032653809,140.40250129699706,21.272599029541016,34.738787460327146,87.1501449584961,77.99838447570801,71.81929321289063,79.71199989318848,194.77860412597656,39.91850109100342,70.05877532958985,83.77975044250488,40.3590389251709,146.11578750610352,221.21478881835938,126.1819679260254,177.06893310546874,54.37659873962402,90.28009757995605,84.57017936706544,118.2729103088379,104.5721549987793,80.69296722412109,35.98462409973145,71.25813293457031,16.589100503921507,47.45690975189209,46.45410556793213,45.12802791595459,23.618589782714842,37.504478454589844
2020-06-05,77.49782028198243,222.99878387451173,121.52607536315918,144.24150123596192,21.51992483139038,35.16647224426269,87.65819931030273,78.40165863037109,72.25285835266114,80.11799964904785,196.47433547973634,40.46322193145752,70.23562545776367,84.67618217468262,40.557329940795896,145.9710693359375,222.1892547607422,127.16073265075684,177.26768341064454,54.73320426940918,90.97126426696778,85.21916122436524,118.35855407714844,104.8529281616211,81.03929748535157,36.365112113952634,71.54244575500488,16.83972692489624,47.66529026031494,47.7052661895752,45.21583595275879,23.91486883163452,37.90688343048096
2020-06-08,77.78301200866699,224.29739303588866,121.88720054626465,149.0945011138916,21.753811836242676,35.603868103027345,88.35554389953613,78.78970756530762,72.72790489196777,80.42999954223633,198.02221603393554,41.131043434143066,70.39487533569336,85.60530242919921,40.72249870300293,145.80079498291016,223.14074478149413,128.00040969848632,177.47044830322267,55.09987678527832,91.64726676940919,85.7157543182373,118.31417999267578,104.99422569274903,81.39287910461425,36.766129112243654,71.80592002868653,17.106629180908204,47.90173835754395,49.18923854827881,45.26014633178711,24.277856636047364,38.29918441772461
2020-06-09,78.13727073669433,225.55092391967773,122.36685066223144,153.48600120544432,22.017914009094238,36.06923236846924,88.81787910461426,79.19300498962403,73.13983001708985,80.59849967956544,199.48780212402343,41.69422950744629,70.5161003112793,86.526362991333,40.875301933288576,145.3881721496582,224.4138946533203,128.94951286315919,177.64350357055665,55.47258739471435,92.22088012695312,86.20642280578613,118.29730606079102,105.13233261108398,81.77592620849609,37.20077037811279,72.10690269470214,17.352324104309083,48.08214893341064,50.43208465576172,45.31949787139892,24.639004230499268,38.65871734619141
2020-06-10,78.6437213897705,227.08311920166017,123.09310035705566,157.39550132751464,22.240329551696778,36.57616081237793,89.23735847473145,79.52367248535157,73.53685150146484,80.79799957275391,201.00506210327148,42.18970985412598,70.73990020751953,87.37846717834472,41.043120574951175,145.10375595092773,225.74398345947264,129.95660171508788,178.36099700927736,55.81749629974365,92.89806289672852,86.98806381225586,118.39693336486816,105.3456470489502,82.32851219177246,37.68142433166504,72.32268447875977,17.538696002960204,48.267994499206544,51.55931797027588,45.42478637695312,24.89985857009888,38.93013381958008
2020-06-11,78.98905639648437,228.01017532348632,123.56820030212403,159.82050132751465,22.386338901519775,36.92732019424439,89.70290908813476,79.6065013885498,73.80003395080567,80.84599952697754,201.51081390380858,42.54670162200928,70.87382545471192,87.96862831115723,41.11378116607666,144.48033294677734,226.7094581604004,130.70215187072753,178.70043869018554,56.04054126739502,93.34844207763672,87.49648971557617,118.21261825561524,105.45230407714844,82.69433364868163,38.02934970855713,72.27406463623046,17.667776155471802,48.393727684020995,52.380887031555176,45.48982925415039,25.09584436416626,39.10678291320801
