Date,AAPL_bu,AMT_bu,AMZN_bu,BA_bu,BAC_bu,BHP_bu,COR_bu,CVX_bu,DUK_bu,DVA_bu,ECL_bu,GE_bu,GOOGL_bu,JPM_bu,KO_bu,LLY_bu,META_bu,MMM_bu,MSFT_bu,NEE_bu,NKE_bu,NVDA_bu,PEP_bu,PG_bu,PLD_bu,RIO_bu,SBUX_bu,SLB_bu,SO_bu,SPG_bu,VZ_bu,WFC_bu,XOM_bu
2020-02-04,79.57091935736334,219.27441873935777,100.55186612900465,338.0723918053603,32.16735104665591,43.30854301003688,87.9559949312181,100.01994344342947,83.73311939057815,84.68936812624543,194.81101412493624,78.85624292706918,75.0342319116097,123.72785356636155,52.198457168371675,136.50490326919862,228.54953909893055,159.95682103139353,169.81902634328978,62.64416302509958,101.2705668847562,63.44813236785839,130.42800039357414,115.30428914283219,88.4432102671327,41.982097641372825,87.30635967965421,38.3206363603862,61.51776222680996,119.40266648073361,49.051571398497885,47.70365073112101,58.60127513126333
2020-02-05,79.39912713348977,218.62623186186653,101.71841026424794,336.6851967791304,32.17707746603307,43.280120332614,88.08071168845188,99.34484685752784,83.86472200581687,84.77371520735052,196.32846352929678,79.63440899581614,74.85186097445883,123.87996823689473,52.23942411005611,137.26578092951954,228.65276860294586,159.78718520593748,171.78422188220839,62.74117750131055,101.23284710342625,63.53846484599508,130.55565711259356,115.2431755503136,88.23159363121302,41.92703255691717,87.30376712808697,37.82275147224257,61.448304257334236,119.28696463683816,49.050129106858286,47.22642061980605,58.28591004956378
2020-02-06,79.51096141609534,218.16546456104464,102.87635467848197,338.8475927990183,32.13904937901237,43.23315383007539,88.38501940514361,98.82999395053973,83.89868672155758,84.94511443202822,197.66933647934738,80.47008600273737,74.83170451887402,123.95429497122186,52.22629908639506,137.89660948440104,228.6786907710446,159.18304556403962,174.52214159411741,62.7949815950351,101.20494397678209,63.76415224154822,130.61751307982144,115.20990371950735,88.0241884851286,41.827621521627066,87.36868840189908,37.49472814133747,61.259934867764365,119.08891614480471,49.054378842577385,46.63954178929576,58.09436933592468
2020-02-07,79.57393057660337,217.59673649015232,104.21762729717116,338.9316556863668,32.084220344180814,43.28894223676376,88.61984681564527,98.27608271615057,83.80411167756222,84.75383127489968,198.61887202176703,81.05689360544024,74.8886637123336,123.92415687788953,52.32457629474967,138.4051920320894,228.45896000207875,158.4905245225204,176.89285335800508,62.846986805337465,101.1941839056047,63.87488202186,130.6758140345866,115.14998857756703,87.73386777444543,41.821655437730556,87.32311827491885,37.02739205557913,61.02613902607569,118.96534114144535,49.07906999704653,45.960272657725476,57.77769781360573
2020-02-10,79.67169152411817,218.93824432507066,106.06755946599395,341.87411313575967,32.07818416931227,43.3034379461657,89.11799695888102,97.79433722467168,83.57568690867924,84.66564830748662,199.06931275176976,81.63070550243377,75.28040179099095,124.0756514823639,52.49265067963042,138.80641425342793,228.2318586164219,157.6944741955456,179.9826531933394,62.88027070344824,101.1860934034438,64.65849091609404,130.48158575566157,115.04985107046642,87.49194374310692,41.784620789113845,87.25564609121753,36.488772143250195,60.74701929047447,118.85803710350694,49.13092317587097,45.181591118529155,57.5078495021887
2020-02-11,79.73307683730415,223.75740693775404,107.83019019899179,344.3892892635373,32.03569851538014,43.235179562541,89.63110753620835,97.22516569543201,83.41632763600037,86.1730921164068,199.52604321045462,82.08995907807481,75.65001213886181,124.17075168664704,52.6386556382901,138.99982962158373,227.68717037068592,156.57988507487022,181.65954193856052,62.91275719503812,101.09780948069516,65.58692293391405,130.499567430344,115.04779554814762,87.68022274320685,41.62594084238453,87.09731439597844,35.9988360335564,60.50945902587954,118.66464174138297,49.149817610088334,44.281756743501695,57.004231457523275
2020-02-12,80.0939525348961,227.5899913873301,109.41090684043715,347.1607534244393,31.964958763291815,43.081518399714064,90.4729074936256,96.70266160207503,83.22638871997589,86.95148174432914,199.97314054291132,82.86431963641712,76.01659622900408,124.04591432175809,52.68433884504156,139.13241194539873,227.25319428162422,155.21424845971345,183.0210964655543,62.80109727965747,101.1080350791415,66.7431565137393,130.33735362302173,115.12984953679663,87.74149600630386,41.39856036398923,86.95484008006333,35.37741723283239,60.23333568131064,118.21712350453205,49.20235607042643,44.14569690089059,56.485796975315026
2020-02-13,80.25295428420341,230.75733129653304,110.62467382394608,349.33621765197745,31.99802756450459,42.93095154831609,90.95892143378146,96.13342684710874,83.82174151958245,87.4091621623896,200.3921939325486,83.2998702913714,76.28465875978743,124.1678533835212,52.79764608741493,139.17993674072505,226.48497864440833,153.95904823384956,184.00442891408284,62.95495357056218,101.18454350295193,67.56226526028557,130.50605447991262,115.12881594623913,87.8729501245709,41.17319294456876,86.82758784479923,34.95567324385531,60.01476671890432,117.73378270252164,49.216601404660885,44.176509503873774,55.908659437653206
2020-02-14,80.43663945196215,233.12856488271652,111.5455827737401,350.74585741418525,32.01556524830496,42.68998897968391,91.37183692459845,95.27759316801253,84.64653026440364,87.78833939488494,200.8139401014052,83.57313410068868,76.590147323134,124.18998164292218,52.94201437304119,139.1905415784348,225.58621617724376,152.27388150786427,185.21697858489878,63.18312660260624,101.20954970781294,69.63704457670134,130.70824912608208,115.18999249101249,88.23056883542519,40.9002582888794,86.48444519291719,34.3206853224266,59.79346531817844,116.98382864023691,49.22066812339503,44.08918102682389,55.29047303754304
2020-02-18,80.44734587001317,234.5212431934617,112.45843137376123,352.20905120171335,31.97162703695489,42.23421161126441,91.76852434656327,94.63300804517988,85.5040200383741,88.02057903012333,201.3861462210079,83.72681382307603,76.85416468882411,123.96263606196516,52.99132504779983,139.16243939192387,224.8822814750528,150.26327665495052,186.58002446629195,63.53926123148905,100.84581165863543,71.76507836468123,130.78623612780066,115.17160099294078,88.71337928702908,40.324975099650004,85.89298231501017,33.65075063711259,59.72810397057802,116.2983357224755,49.22053162752229,43.935304733085786,54.63716033524901
2020-02-19,80.56540203620605,235.13503180371706,113.4068390462858,353.07640182791073,32.01752496889174,41.8886492810033,92.2638375667124,94.45852480205107,86.1123490046701,88.23230770384363,202.28694386162084,83.67229979818951,77.14098134261283,124.02957880570884,53.06495775420869,139.1654440734286,224.24527506809164,148.33596659497093,187.76410949797855,63.53629591504088,100.49020553446334,74.8474685051945,130.8621302478714,115.17529951933768,88.98519886068603,39.785713498999215,85.58041114177801,33.30772960743671,59.68665303948072,115.17682328321276,49.14742561726069,43.807009021726415,54.056767661979364
2020-02-20,80.59484509069262,235.5767571958675,114.03839708570057,352.85193569663517,32.07127808535079,41.302287349467306,92.93714926194832,94.25433310011323,86.63622521098956,88.32906453985096,202.41210720634442,83.23153515605622,77.33007288743264,124.1080952372701,53.139969625741436,139.20837892112382,223.2850356138822,146.3860100553922,188.2174576416085,63.65606525005412,100.1358583828163,76.87621726716377,130.94238520867157,115.28635949581795,89.48131981907372,38.95469099322122,85.09198242183156,32.95989696075452,59.750639476717936,114.73660400306072,49.03585261100814,43.73852375435221,53.46623713837257
2020-02-21,80.61632533369328,235.95793569599988,114.16259111402191,352.7383344519149,32.08643450212662,40.7636642610082,93.67475835428772,93.95112445074332,87.29474698564779,88.33446277426485,202.74309142256422,83.02951284689196,77.3265441843169,124.06817408632385,53.267379470220604,139.25250432979368,222.37884847382003,144.12166457501112,188.03458564586688,63.73661907690573,99.88073351422504,77.84945911981457,131.08839909300116,115.41699231980004,89.94365437262066,38.3276802851587,84.11568987210978,32.613463762189895,59.75824545192069,114.22990135025277,48.88618032848167,43.73739987099969,52.88565194780183
2020-02-24,81.19945452574248,236.1437913594781,113.81525404147149,352.8817937749159,32.13784915526381,40.816732431260306,93.99199558604329,94.04747735229365,87.82963832125773,88.32490224389522,202.58916515057572,82.91085027846484,77.48243725136234,124.16972228027494,53.23585907834969,139.2699190429982,222.47597441398145,141.3265193215195,187.52006945246245,63.74683467462812,100.1043654836605,78.05584719698113,131.10111460336913,115.56621603302796,89.93278497618554,38.14065223401219,83.61779060267826,32.82136002718399,59.787157986336176,113.9671115656433,48.75971783334465,43.77374688989443,52.61082515483663
2020-02-25,82.12748319450523,236.36229928908182,113.12428119810656,354.2077299389287,32.420892770952854,41.170470848214144,93.96085141754182,94.86074027356406,87.8957992512287,88.35787920427977,202.86696625864914,83.07337052346926,77.81278116839513,125.33033084380415,53.20484856117446,139.57810570653982,223.3049821097265,139.4546494164266,186.70432475788817,63.737977074954934,100.89993386960357,77.96391261770776,131.2085397262322,115.97815598098389,90.08360385668185,38.39921492956759,83.9923308059935,33.45008679880375,59.89308480914864,113.84792829040143,48.73971033098449,43.99840659071748,52.873739571745425
2020-02-26,82.52973271076034,236.3587778632252,112.48774466139454,355.1568001533061,32.721428527723496,41.355600751797716,94.05439024969877,95.75151988676782,87.91565232800494,88.37789931166401,203.29909095364894,84.0074167249672,78.08168482293567,126.0844712380926,53.12373178109266,140.2267433089264,223.18498294420047,139.36652685605168,186.1352972060819,63.707885626475104,101.54811877779784,77.99952298452635,131.23888687675733,116.42927055291986,90.21114799147,38.589740035401036,84.46501717794054,34.0154745519822,60.017554738106945,113.99654934655705,48.5202516614902,44.356728842992986,53.0951896333439
2020-02-27,83.53151817191284,236.39955675796972,112.26879512713764,359.1380985169034,33.21625715978429,41.63087572810639,94.25994548658151,96.99929026897111,87.96005356705481,88.51443624173935,205.8733398925293,85.25409623972314,78.99174978806654,127.5826950738506,53.609002179826085,141.57366506392785,222.70965917420784,139.39418026862802,187.6945293921678,64.00718446023448,102.62192696382432,77.93337220159034,132.19775082761404,118.33278447813929,90.87219958921033,39.03732867631937,85.28271972547252,34.67392947611664,60.72973752099466,114.94004995437636,48.796547449677874,44.94084645260321,53.702727640661514
2020-02-28,84.06270458663171,237.2111819075822,112.160519100241,364.3746967468161,33.642742722593475,41.949486665162205,94.68262447109359,97.71483450364715,88.3581232034425,88.8092047436605,208.23389106698772,85.54275034328958,79.3873867917965,129.43198917832325,54.280961144865785,142.9316772582938,223.38432802768526,139.31576165738574,188.57823194201794,64.36785909838726,103.20224729196985,77.93167958204373,133.7631080074898,119.29277831825391,91.68056139508116,39.300360809218226,85.82315627321296,35.01145652543498,61.52281168198484,116.06406898455367,49.09499742789717,45.584314697592795,53.56879440267169
2020-03-02,84.04585168460954,236.8719683528258,112.27827092424388,365.9839269681444,33.8299189784168,42.122849882302205,94.47988856277773,97.99939059905125,88.35807309041975,88.7630758699595,208.48454597685503,85.59919247296297,79.46421848840596,129.93999666249698,54.35966027673029,143.093644447213,223.65725378392128,139.25255127889332,188.4843026492959,64.37726655961278,103.32922319154507,77.75016634607107,133.95656075758117,119.2502284460728,91.8500436276516,39.372438841231755,85.86921934192287,35.1599813148615,61.44721258627709,116.33786200220278,48.97140932101228,45.79573241884302,53.4101054534332
2020-03-03,84.1317133650328,236.68135793360904,112.57511958648341,368.30984366129167,34.16613588696298,42.25443775871309,94.41251210590683,98.42493598377976,88.37022464709723,88.95385225706873,208.460654564633,85.83776639328117,79.61179594920047,130.7908029043828,54.39349993314813,143.3516311620817,225.17101409077466,139.87678237416827,188.96632997819404,64.37786849810041,103.45555692141438,77.4362215597589,134.28989141997758,119.20794718665766,91.92057672690984,39.419869610637456,86.19013205385221,35.34550615088174,61.26549960904112,117.11194585499945,49.0231763369427,46.15906766400685,53.52284244688535
