Date,AAPL_bl,AMT_bl,AMZN_bl,BA_bl,BAC_bl,BHP_bl,COR_bl,CVX_bl,DUK_bl,DVA_bl,ECL_bl,GE_bl,GOOGL_bl,JPM_bl,KO_bl,LLY_bl,META_bl,MMM_bl,MSFT_bl,NEE_bl,NKE_bl,NVDA_bl,PEP_bl,PG_bl,PLD_bl,RIO_bl,SBUX_bl,SLB_bl,SO_bl,SPG_bl,VZ_bl,WFC_bl,XOM_bl
2019-01-31,34.30814559325944,138.79550215912656,77.42512822212046,308.6273801123063,21.133439592964397,32.07971698210614,67.34937424915412,87.05476082522179,67.47036259274586,52.57719403400783,135.54430008140537,47.23487076629363,52.031988765626025,84.56891646058796,39.446132192129795,103.59249554160446,132.35319903665277,149.24774103088296,94.2594503929281,37.41792627028648,69.27246559046468,31.84072130207671,91.98843033635748,77.96877896159772,49.80430246522911,28.161248681300865,55.170349466597195,32.978278238620945,35.654998457473575,122.52585183574008,41.52556717164528,39.927345494037326,53.61593175780255
2019-02-01,34.62610945027255,139.45360897165529,79.09723795701943,315.2771533170979,21.552155894819673,32.33674467042699,67.56745887700603,86.94502814709853,67.41483996268575,53.76870140607771,137.0304862349755,47.23521389016603,52.58583084786285,85.46218343977466,39.44026288897965,104.22254449751676,133.04113172166058,150.53241341762782,95.60450384238135,37.60175145825383,70.18628319833982,32.56614453540789,91.95848652603226,77.81600041652021,50.682804355080386,28.476967176644713,55.555435801678904,33.73306105983301,35.936629344911495,123.64393826613916,41.39366675457959,40.26511021285498,53.67049753542135
2019-02-04,34.50111010099985,140.1255848107832,79.69757961124472,317.51385081570555,21.816766171539232,32.27119179474899,67.70276708148302,86.42633979134216,67.33932278134175,54.09422336838265,137.45102470279906,47.31152316104421,52.38061098661368,85.60832128439657,39.27875260300135,104.3093533077902,132.3967807592921,150.45578732308837,95.95728899660294,37.658117666767446,70.73080787460975,32.9087162057965,91.73340278192447,77.5267211100796,51.41672137416199,28.461517043948326,55.68462093243503,34.24248706853164,36.19458237427783,124.26492645446238,41.17967189425172,40.37099711863811,53.59663614499231
2019-02-05,34.40965591862252,140.6450189810123,79.82679270179064,318.66541143657577,22.12512707385635,32.233616716396135,67.73006919041364,86.09793845813128,67.25569638807075,54.37252044974038,138.04512843129663,46.68342455959424,52.192843593984115,85.79730168683722,39.23097805810278,104.35318340399272,132.22399254952228,150.46162548301243,96.27139081124743,37.73771504257789,71.06884024868492,32.99975438771816,91.61825469852973,77.47296261776971,52.10170675785061,28.528352373414545,55.68576709798914,34.56496507847662,36.54408952007496,124.54421309467499,40.97706101251474,40.54139061133326,53.45027615312552
2019-02-06,34.35035202513469,141.1653705550495,79.76601416296494,318.792884140347,22.491559218378242,32.258286812363664,67.70354372882231,86.04173409983503,67.15586641891997,54.78240416022088,138.4046585380329,46.6777355617135,52.214594303016874,86.0506140640747,39.17248049551247,104.41815040678527,132.09692044243388,150.35991518827498,96.55257458648168,37.785590629833145,71.32447738032694,33.219735441914935,91.49309546882303,77.41831678623038,52.56910190541964,28.568887860430166,55.78897871495668,34.85920016992168,36.68764313431131,124.49597930579542,40.740850806376734,40.7595311743103,53.37669292495987
2019-02-07,34.40129403653681,141.9780853175897,79.5218361734337,320.23113813854536,22.839142639049026,32.317715164663355,67.86094281391709,85.99968007265153,67.08299492935174,55.40628999596369,138.98580077783845,47.158191106860386,52.288310928055004,86.32921312402391,39.2452213004348,104.43209193664623,132.62344324313494,150.5424717539913,96.62546961020155,37.80634924616166,71.71056414352714,33.33491011171699,91.6912914672949,77.69994422423018,52.99692896491235,28.63619900929884,55.899842343389615,35.10394049294317,36.90273509737426,124.36359816195393,40.48948389362532,40.87552696229782,53.3614650668112
2019-02-08,34.48526737386202,142.4920386546977,79.03709662145283,321.18105016416973,23.25664896895732,32.38918015497166,68.32047995076917,86.02592123663437,66.93220938483341,55.63383133551262,139.48060164411956,47.39829692879753,52.38126800998998,86.512992701956,39.26904853006266,104.55232456625635,133.34528406705851,150.65789839018836,96.80436240264643,37.72613018135497,72.22179161561397,33.38838333616483,91.85654537681006,77.9866181611147,53.31252021682545,28.772354624630164,55.97760138919846,35.248303506587256,37.000574321316485,124.53828086407269,40.33884205698745,40.94124039327926,53.38185804732784
2019-02-11,34.68873958339654,143.20158989171554,78.6759068041538,322.89569484752747,23.677847020732518,32.51001731512341,68.80295263290306,86.1756142144587,66.97787914500063,55.62029503253836,140.0465808508153,47.63750026062842,52.60273762357075,86.74730716365973,39.27907401139271,104.68389790419558,134.49779573011693,150.91253094637676,97.13595033035139,37.67652561500495,72.84850313612951,33.35347238729673,92.07885814802881,78.2223643078618,53.73009063809849,28.958509591661144,56.192108993868956,35.44918690403532,37.07823519406376,124.85657433090154,40.259745642942214,40.9830938096882,53.447678404688254
2019-02-12,35.02705585192557,144.11976950467033,78.78725323151743,325.1440576066153,24.10865944402692,32.652733111922394,69.19893707201268,86.3775192384269,67.26689086034551,55.66814569727855,140.72952506408276,47.97397413411913,53.01003482473089,86.9995498932619,39.33904626143203,105.07539149146155,135.65092906107276,150.74368919070292,97.74767093802693,37.81773146733925,73.51556724799734,33.35527186248995,92.46828203837458,78.57142987625926,54.30481696648337,29.171322104834235,56.59440785894307,35.773954029088664,37.26807367742763,125.59791002197227,40.25837711040138,41.07903007417634,53.45658384009029
2019-02-13,35.296700435360904,144.77053985829076,78.7532888849748,327.9213045426788,24.63650837908398,32.76365815736349,69.58933619812717,86.54176422087635,67.43259645620171,55.56397975981081,141.32219670933964,48.421247786627625,53.088719253389435,87.15759753276129,39.36183566985068,105.14337995436061,136.473726450022,150.91985574748318,97.80754266576726,37.85632143029215,73.75274081025528,33.3574541224526,92.60322056437153,78.88692101514758,54.80536153142247,29.39606124834738,56.88327894181857,36.05454011530716,37.38910644735983,126.33540904467797,40.31380605736658,41.35743537573936,53.43416065081596
