Date,Mkt-RF,SMB,HML,RF
2019-08-08,1.97,0.04,-0.23,0.007
2019-08-09,-0.78,-0.42,-0.22,0.007
2019-08-12,-1.32,0.28,-0.27,0.007
2019-08-13,1.47,-0.17,-0.53,0.007
2019-08-14,-2.95,0.22,-0.51,0.007
2019-08-15,0.16,-0.61,-0.53,0.007
2019-08-16,1.55,0.52,0.61,0.007
2019-08-19,1.14,0.01,0.22,0.007
2019-08-20,-0.75,0.3,-0.5,0.007
2019-08-21,0.85,0.05,-0.3,0.007
2019-08-22,-0.1,-0.53,0.49,0.007
2019-08-23,-2.66,-0.55,-0.18,0.007
2019-08-26,1.08,-0.02,-0.17,0.007
2019-08-27,-0.46,-0.88,-0.67,0.007
2019-08-28,0.68,0.47,0.62,0.007
2019-08-29,1.35,0.31,0.34,0.007
2019-08-30,0.03,-0.38,0.23,0.007
2019-09-03,-0.86,-0.95,0.1,0.009
2019-09-04,1.08,-0.22,0.43,0.009
2019-09-05,1.42,0.4,0.71,0.009
2019-09-06,-0.02,-0.39,0.04,0.009
2019-09-09,0.07,0.75,3.06,0.009
2019-09-10,0.17,1.06,1.13,0.009
2019-09-11,0.88,1.33,-0.04,0.009
2019-09-12,0.22,-0.3,-0.13,0.009
2019-09-13,-0.01,0.01,0.74,0.009
2019-09-16,-0.23,0.9,0.53,0.009
2019-09-17,0.17,-0.59,-1.19,0.009
2019-09-18,-0.05,-0.76,0.06,0.009
2019-09-19,-0.05,-0.43,-0.46,0.009
2019-09-20,-0.48,0.29,0.15,0.009
2019-09-23,-0.02,-0.17,0.51,0.009
2019-09-24,-1.01,-0.73,0.0,0.009
2019-09-25,0.69,0.36,0.53,0.009
2019-09-26,-0.41,-0.96,0.11,0.009
2019-09-27,-0.62,-0.34,0.88,0.009
2019-09-30,0.5,-0.17,-0.48,0.009
2019-10-01,-1.31,-0.46,-0.59,0.007
2019-10-02,-1.73,0.9,-0.36,0.007
2019-10-03,0.8,-0.22,-0.89,0.007
2019-10-04,1.39,-0.47,-0.07,0.007
2019-10-07,-0.41,0.16,-0.02,0.007
2019-10-08,-1.61,-0.13,-0.12,0.007
2019-10-09,0.92,-0.55,-0.09,0.007
2019-10-10,0.59,-0.4,0.26,0.007
2019-10-11,1.23,0.47,0.19,0.007
2019-10-14,-0.18,-0.34,-0.04,0.007
2019-10-15,1.03,0.25,-0.25,0.007
2019-10-16,-0.24,0.4,0.23,0.007
2019-10-17,0.37,0.8,-0.28,0.007
2019-10-18,-0.49,-0.36,0.86,0.007
2019-10-21,0.71,0.16,0.35,0.007
2019-10-22,-0.34,0.22,0.85,0.007
2019-10-23,0.25,-0.09,0.26,0.007
2019-10-24,0.25,-0.26,-0.89,0.007
2019-10-25,0.51,0.27,0.08,0.007
2019-10-28,0.62,0.27,-0.24,0.007
2019-10-29,-0.13,0.3,0.51,0.007
2019-10-30,0.27,-0.37,-1.16,0.007
2019-10-31,-0.38,-0.26,-0.44,0.007
2019-11-01,1.08,0.48,0.83,0.006
2019-11-04,0.4,0.01,1.35,0.006
2019-11-05,-0.03,0.24,0.45,0.006
2019-11-06,-0.05,-0.72,0.23,0.006
2019-11-07,0.38,-0.14,0.51,0.006
2019-11-08,0.31,0.06,-0.36,0.006
2019-11-11,-0.19,0.0,-0.19,0.006
2019-11-12,0.16,-0.12,-0.15,0.006
2019-11-13,0.01,-0.22,-0.82,0.006
2019-11-14,0.07,-0.11,-0.25,0.006
2019-11-15,0.74,-0.26,-0.34,0.006
2019-11-18,0.02,-0.35,-0.51,0.006
2019-11-19,0.02,0.58,-0.94,0.006
2019-11-20,-0.33,0.0,-0.45,0.006
2019-11-21,-0.14,-0.35,0.1,0.006
2019-11-22,0.24,0.06,0.22,0.006
2019-11-25,0.92,1.32,-0.38,0.006
2019-11-26,0.19,0.06,-0.9,0.006
2019-11-27,0.44,0.23,-0.03,0.006
2019-11-29,-0.42,-0.04,-0.31,0.006
2019-12-02,-0.87,-0.25,0.48,0.007
2019-12-03,-0.66,0.6,-0.83,0.007
2019-12-04,0.6,0.13,0.24,0.007
2019-12-05,0.13,-0.21,0.46,0.007
2019-12-06,0.91,0.24,0.37,0.007
2019-12-09,-0.33,0.37,0.11,0.007
2019-12-10,-0.08,0.31,-0.09,0.007
2019-12-11,0.28,-0.07,0.13,0.007
2019-12-12,0.9,-0.14,1.14,0.007
2019-12-13,-0.03,-0.27,-0.54,0.007
2019-12-16,0.74,0.02,-0.04,0.007
2019-12-17,0.1,0.41,0.67,0.007
2019-12-18,-0.05,0.2,0.09,0.007
