Date,AAPL_macd,AMT_macd,AMZN_macd,BA_macd,BAC_macd,BHP_macd,COR_macd,CVX_macd,DUK_macd,DVA_macd,ECL_macd,GE_macd,GOOGL_macd,JPM_macd,KO_macd,LLY_macd,META_macd,MMM_macd,MSFT_macd,NEE_macd,NKE_macd,NVDA_macd,PEP_macd,PG_macd,PLD_macd,RIO_macd,SBUX_macd,SLB_macd,SO_macd,SPG_macd,VZ_macd,WFC_macd,XOM_macd
2019-04-23,1.3608400979892394,1.6550134888152002,2.1120096028930107,-3.319533696605731,0.37799101500260335,0.41652162917421265,-1.6053003623190847,-0.3296055168556933,-0.10110478478003415,-0.4959800027078316,2.979624529429401,-1.1220899947662417,1.012736297350159,2.4713392824185405,0.3529115320678642,-2.1970319487219,3.864725581028779,2.5076295436053044,2.2330728042750536,0.059581982391748056,0.8251974073485684,1.2925340999020136,1.9076736365960585,1.1235442607586634,0.608946317808801,0.7906907990118697,1.0207797544871653,0.6257349892126172,0.2677450475519336,-0.4423788907951689,0.13396757992288855,-0.4718572117757631,0.513101698982517
2019-04-24,1.3799042228114402,1.5034075719376574,2.1244007589088483,-3.219731742628994,0.37768668527404614,0.2615554498351642,-1.4994071597532184,-0.5592991416527724,-0.08020647443439088,-0.4158121111199762,2.900773760755385,-1.0550225457007016,1.04620614513982,2.518007765160121,0.38428060325072977,-2.243234310014145,3.912650685724259,2.5063055886702443,2.3131647366275985,0.0562480904253988,0.8815280002175996,1.2676404041394633,1.9430126685445401,0.9840428322379324,0.7129805391916193,0.6568745701367931,1.0163192826378378,0.47314102979357386,0.26339486859407657,-0.48870064016713854,0.055059604749743585,-0.4512607602432155,0.46928236633443987
2019-04-25,1.3430210200433876,1.3003785696801913,2.111893658035143,-2.5330337161820466,0.37737383442951256,0.1400802013142055,-1.4267901807287302,-0.7571921363015832,-0.012964192581719658,-0.3594319523707341,2.7190046084932646,-1.0882675682811467,1.089583462088811,2.5300293189070544,0.39491785262524104,-2.23688061203093,4.756672279367166,0.6442722634028542,2.663921893604453,0.060459697312786886,0.8527606704428194,1.1493111698727319,1.8938254210494705,0.8344647282095821,0.7969194760819533,0.5399015047863855,1.0531883247595317,0.2826505916051332,0.2706260978628734,-0.5373737930479194,-0.08389386823707667,-0.4279090403371484,0.4580678476985014
2019-04-26,1.280003276034698,1.1921835683527888,2.270996041906713,-2.122739828325507,0.39186146300706426,0.03922592200039787,-1.329168155283682,-0.9547815141751101,0.0314327012053468,-0.17395529811086163,2.6590025673012576,-0.8818309885702007,1.151356586844308,2.570131905114124,0.4274337851297716,-2.085274686747823,5.222689681136586,-0.7605468668895128,2.9645643210118635,0.08493084407620444,0.8773016540145591,0.8688029461695024,1.85241388392555,0.8906755707767786,0.8986410603509114,0.4400394115030224,1.0946023139011913,0.13018485693778103,0.27970203857702813,-0.5239195281543516,-0.14639955430364182,-0.37366466147048527,0.3370091677632274
2019-04-29,1.2219953953520317,1.0388435471806474,2.321107592639507,-1.9126488183840138,0.4283544527419174,-0.036736633870333435,-1.2034279671511001,-1.0590482784343749,0.017850408971952447,0.016420561571962367,2.545403692948554,-0.6317933277551617,1.2615393785511273,2.686449358157219,0.458964918093578,-1.9626743215060998,5.790456061245692,-1.946856398594548,3.1572134160891494,0.10420150718228882,0.8827443926712846,0.6636915261270389,1.8189485132974,0.8479981302859301,0.9174277039722085,0.3562693863430155,1.0756153396439174,0.018313343609953847,0.2654381583272283,-0.6784949519397685,-0.17753234036388932,-0.3055004840860178,0.20614288568153682
2019-04-30,1.0869775877916013,1.1110890966394322,2.2864127572554054,-1.8322031943866932,0.4386700987711336,-0.11859005067294959,-1.0726603453963293,-0.978987028537162,0.10691605284081618,0.09279572806470071,2.4024496775126636,-0.21350381416953468,0.9456369018803841,2.742123118690529,0.5221465552076765,-2.0333431155405606,6.059330161505727,-2.89934444980841,3.335195778901493,0.16556595761480253,0.8443868864206081,0.5285072709020824,1.8662258612781812,0.9254229855157803,1.0124716248519832,0.26644920776139713,1.1040359448844441,-0.12184054214487361,0.3135941412336223,-0.9145043698273696,-0.17813058425809913,-0.2389474197823489,0.12044750037350838
2019-05-01,1.157918063570591,0.9843723242140072,2.17334514825356,-1.817626908435102,0.41919499175201125,-0.24147139818747831,-1.059569614641319,-1.049027937491644,0.12941617014249118,0.1802940133967894,2.1345581075956943,0.08241451946580725,0.5850905470026362,2.692900076189261,0.5335998261945889,-1.98133623160642,6.171450680145796,-3.8348213735959575,3.2300908824771426,0.19096286650069771,0.6585598202064062,0.4060728458137106,1.8258794217348964,0.8656474674203025,1.1408434345929663,0.14349639612785836,1.1021776381366664,-0.32160254953151224,0.30228214289447664,-0.8467137998552232,-0.21824193807000114,-0.19651044168866605,-0.047692839348584926
2019-05-02,1.1739995386278466,0.8660176938749373,2.0173142024286506,-1.8633979005198285,0.4160782375555776,-0.34666399102523116,-0.7651113197801465,-1.1834236519670753,0.10664216409182359,0.3193847488391697,2.04700106188551,0.3866796033360629,0.2687811271695253,2.640947726790131,0.5228331828202428,-1.897327065633874,6.149121032050999,-4.609335417990138,2.984123661763661,0.18113627072825267,0.4577553201744564,0.3593973515330333,1.7450572674357545,0.8536147347084153,1.139046846621568,0.01972568627112281,1.0845540235867617,-0.49187753391539957,0.30491305335230834,-0.7809604299401371,-0.2179482410856508,-0.15618905997699528,-0.2642770506026153
2019-05-03,1.223138179594791,0.7741309253853501,2.1179360075461773,-1.8266098968544497,0.42369814188793953,-0.3615261863318082,-0.37146079686370115,-1.2183022839388542,0.11029132522746465,0.4630101256068002,2.006479232732545,0.7429245653102114,0.10979479383649249,2.6192831753697448,0.5309767970028005,-1.9243751299014207,6.29583141825006,-5.133253039043012,2.961669777572567,0.18363668518465204,0.3277740501412154,0.315166978446328,1.7200427004673173,0.8713250719840602,1.155623059377234,-0.0010889631585868642,1.1002325310379462,-0.6085225485042542,0.33532721919375774,-0.6242302508504736,-0.19968555949989053,-0.0986502924498609,-0.4198159147710214
2019-05-06,1.18491677830459,0.6383382285230255,2.125130078988775,-2.1555795233409754,0.4079214685740311,-0.42215002945057023,-0.12035549524993883,-1.1594619598598683,0.06777696685870183,0.6340782644853462,1.8490537797112268,0.9793327222430008,-0.00042297561444826215,2.501179427244139,0.514232388360881,-1.9428418137223673,6.212325883740704,-5.626087296467574,2.853375550010824,0.15666528503720656,0.06090276608466638,0.2143303530263978,1.653132023357756,0.8469139718125973,1.118141799669445,-0.06073550320962795,1.100699205497989,-0.6957650260504167,0.3403955822166296,-0.5720919600320258,-0.20362612117284584,-0.06763681384654774,-0.5579311440348533
