Date,AAPL_macds,AMT_macds,AMZN_macds,BA_macds,BAC_macds,BHP_macds,COR_macds,CVX_macds,DUK_macds,DVA_macds,ECL_macds,GE_macds,GOOGL_macds,JPM_macds,KO_macds,LLY_macds,META_macds,MMM_macds,MSFT_macds,NEE_macds,NKE_macds,NVDA_macds,PEP_macds,PG_macds,PLD_macds,RIO_macds,SBUX_macds,SLB_macds,SO_macds,SPG_macds,VZ_macds,WFC_macds,XOM_macds
2023-04-27,2.6687750178122456,1.2965049586819837,1.7001427558166669,0.051620265353789774,-0.2384091737444116,-0.3168145811007599,2.5428112254859654,1.844598715861802,0.6229144459043895,1.5496349642315093,1.4885363377999716,2.29160760162726,1.7116272165745743,1.5337407008548851,0.7969640372034202,11.15102302574556,6.218223030101405,-0.26950354748317157,4.972731060136873,0.6640052330208914,1.157982604887739,6.238035898797355,2.3662480387651725,2.7135063631557794,0.4134451825313874,-0.46531530104680485,1.6384826467218325,0.040177801283571804,1.451240001040718,-0.6298008335684046,0.06772992635232528,-0.026192889745943006,1.8103694704179427
2023-04-28,2.64429970759764,1.1818004526486487,1.7617570249775665,-0.06125726691195764,-0.2180489713698492,-0.38589750663754685,2.476089774655505,1.7245469845992452,0.6285061428376231,1.678438106032733,1.4590983804668218,2.246165102887435,1.6521769651957137,1.6120205073743934,0.7876421560605937,11.424113944693376,6.442039258086146,-0.21908870460821928,5.217813733412589,0.5627372533352375,1.167839567872122,5.923890122645564,2.4591383438172967,2.7803385863566685,0.41490976923410355,-0.5850481497191518,1.8043398396226134,-0.03320136991905901,1.432508966391488,-0.5279875993225983,0.05211147210405245,-0.00593056482961341,1.813085331839878
2023-05-01,2.6475404352850784,1.0024973232007515,1.7399215719070218,-0.18164957721689268,-0.20214147337108926,-0.4483510855890422,2.3977253869651403,1.5895579854322324,0.630637386298327,1.8174105490744896,1.4729649610738438,2.2352223042891612,1.609014553056036,1.712429696845758,0.7804591059938375,11.875405037481473,6.878487221264793,-0.16406409705387637,5.545149311736264,0.472135061772427,1.2020638447264136,5.888128257462965,2.565779761630872,2.8336412945900564,0.4078202285884941,-0.6981661985341038,1.9794905352458243,-0.09746735921707315,1.4158154441994868,-0.3992925222362815,0.048047099264372166,0.012481550160717432,1.7647997183526876
2023-05-02,2.6452853026493117,0.7374386422421267,1.6881683516494432,-0.3099184848252076,-0.20300644736526377,-0.5161278986979084,2.348134496576863,1.338357005739496,0.606306877366494,1.9186229003551276,1.596651767502972,2.246636396633848,1.5446621601596786,1.781899042843655,0.7687305248727422,12.362192040676657,7.346858359105665,-0.15169633434132568,5.891867839168751,0.37858311506878134,1.23663919755848,5.903661126504152,2.678434777491027,2.867019327821615,0.39605247196047,-0.8152557896215131,2.145211656884494,-0.1988726253327181,1.3836419143068572,-0.28121011410113234,0.035632701630314706,0.004776893569788353,1.6126634946343414
2023-05-03,2.6163768028859398,0.3661841014162929,1.6168477231754952,-0.4727082178879787,-0.21851528710679527,-0.5755491070460652,2.2779772929011033,0.9752584450478252,0.5611628008770124,1.9836176312492395,1.764220565711312,2.270483888927304,1.4683171198316762,1.7783114330924834,0.7474495650211039,13.244566887136033,7.758718683226203,-0.16861683648251793,6.203147764379114,0.2787122726681867,1.258618926830944,5.872001778068969,2.7817637087029197,2.8764935216637637,0.4071327303001,-0.9284768890691024,2.1275309073291875,-0.3320166974678809,1.343057281343278,-0.24230697261753037,0.02323276663539413,-0.02184159348436919,1.3663103584814746
2023-05-04,2.5399707472156434,-0.015234762800135027,1.5389002657353266,-0.7094267994745351,-0.2553452964418782,-0.6256091573797393,2.1886776235386582,0.5494909378626153,0.5159669966668405,2.0028268941283933,1.9310292487138494,2.2566925404028195,1.373623662908999,1.6959905100142865,0.7206755886181475,14.254935485347007,8.03994428083108,-0.2174685015695935,6.477742566180862,0.1813381425010444,1.220362786441316,5.760760601958969,2.886085419834769,2.8526600081705933,0.4421959840260128,-1.0391156363184648,2.0028396159039943,-0.480445089909893,1.3103659021572616,-0.25061434643026226,0.0019311006100399715,-0.08426726497165742,1.041591892721292
2023-05-05,2.5554769425572115,-0.346468356371663,1.4838622987212415,-0.9578753552266677,-0.29189224639668077,-0.6262455509915619,2.109182062335821,0.16663716298526815,0.49101238845365197,2.0078694819286853,2.104880504288696,2.2295368832450686,1.2833028374545918,1.6057298671404026,0.694858025373237,15.250105399733174,8.19442989650894,-0.26063500069406753,6.783105355848373,0.09022010969126512,1.1895352303494398,5.770653872964594,2.992774347212547,2.8108385184728193,0.5262171556959276,-1.1073497288907246,1.8519190760165942,-0.6189443722675397,1.2919230452013464,-0.2619758287581031,-0.01659365765059154,-0.146662563163717,0.7230682919729439
2023-05-08,2.620843807098554,-0.6831160346313059,1.4453989368180231,-1.2156995544554707,-0.3259898833320244,-0.5932325572070293,2.0386657668656274,-0.17928095474306888,0.4719119289108058,2.0109982244830853,2.2559839309009155,2.2011730825472267,1.2326322192696266,1.5167234350205026,0.6678634810738994,16.226508302749984,8.250511666655909,-0.3125263316591329,7.044635913558883,0.01610528848059027,1.1668333237432886,5.91792206478379,3.0742769087287356,2.742099623667388,0.637182185740198,-1.1399257936680272,1.6876248423683549,-0.7291011928584775,1.2747629362338522,-0.29733612714145147,-0.03236898518086762,-0.19857784654566862,0.43010055886543685
2023-05-09,2.6806077833953976,-0.9991343043046257,1.4286501759430337,-1.3894042623738032,-0.3564858019680046,-0.5454105165730254,1.9734588033286518,-0.4905535490571523,0.44343190464443816,2.1918152820409205,2.3800822722440595,2.1697957040729805,1.1999595767324405,1.4193941303381683,0.631829586940475,17.03431316873983,8.224764920179267,-0.3895459034891451,7.2228163190485635,-0.05093173082468769,1.119738650379337,6.037579807780511,3.140955137957725,2.628949795607647,0.7352683778602714,-1.1462931282438733,1.5125331090578675,-0.8053004167534809,1.2582400532963136,-0.36788362692930354,-0.04944412619385698,-0.2382574373008603,0.1679903737358756
2023-05-10,2.756024035289661,-1.2392361109195804,1.4800907813830633,-1.514704610541885,-0.38757088850032884,-0.5021334270730157,1.9302404448108443,-0.793774396144612,0.4261932595514625,2.4463956375511575,2.5081359899252047,2.1099839370270637,1.2477449745050346,1.3198095725972272,0.5922796603953574,17.774570761057635,8.125711624197963,-0.47589052284888445,7.406980166520556,-0.08963021002111977,1.0322459453037176,6.169979366516561,3.189702259218092,2.492913503606372,0.851978198313025,-1.143116925892341,1.3404639008305463,-0.8748703086283516,1.2549798220724155,-0.45534838444959114,-0.06542067091471503,-0.27169599572441494,-0.0829861406915541
