Date,AAPL_rsi,AMT_rsi,AMZN_rsi,BA_rsi,BAC_rsi,BHP_rsi,COR_rsi,CVX_rsi,DUK_rsi,DVA_rsi,ECL_rsi,GE_rsi,GOOGL_rsi,JPM_rsi,KO_rsi,LLY_rsi,META_rsi,MMM_rsi,MSFT_rsi,NEE_rsi,NKE_rsi,NVDA_rsi,PEP_rsi,PG_rsi,PLD_rsi,RIO_rsi,SBUX_rsi,SLB_rsi,SO_rsi,SPG_rsi,VZ_rsi,WFC_rsi,XOM_rsi
2021-04-19,76.44515926780734,62.829447981451594,77.8541901928921,41.99947489157661,57.00318906544916,69.98136906082885,52.22543309608012,35.218151277819274,67.94507972431305,51.8277322000408,59.87702058441685,63.49198786251405,85.30578969356995,52.28109281922402,52.03260316996649,58.54044552011325,60.56232089464098,61.594638469325254,77.64704408328386,76.68455230210671,47.722744770893215,73.32104413474903,49.73080787407435,46.097453868792,71.88496767029211,82.25131955158159,83.47826366064092,40.26619809204081,74.9039569252372,62.198102610008256,52.64965464313123,82.61387942138455,44.37650571067431
2021-04-20,75.73048671293907,77.4600901171782,75.4592202210397,31.460429080925863,43.05341460842844,61.219522887288115,56.48648109006997,32.73279918013695,86.05293191893223,56.53217008798729,59.95904035872022,43.814457572379744,82.69870164200061,39.513161755543855,66.13914636903417,63.13624419415101,64.181993905382,65.94098118098779,83.35447119093301,83.17553978674155,38.37584399276705,71.74052624534238,66.12417576300435,60.15902285481466,76.61544525403593,72.58919535589159,73.36456784493886,35.53595652868033,90.55231555105038,50.442055572850585,56.465828855511184,68.04124824127584,41.91685779730689
2021-04-21,73.83459529068489,74.6816748560849,74.935756741282,30.235468763886047,50.21769391823397,66.88937020397515,64.34538158513641,42.41530608100561,81.66635362070554,64.10760253990045,65.71515058571413,55.339836638880904,81.72200722324789,47.95854750931576,80.06322294218049,61.180358812909596,57.494610863785994,83.88445452488818,82.653409116675,61.048648009393396,44.63198600570153,70.11745134165254,77.62208454810495,55.81986639648558,80.47585997908092,75.78757118421407,80.34126464237863,39.94483815445871,83.36447606244413,63.51215169928621,59.851858960657125,72.88697603612233,50.998839349995386
2021-04-22,68.23006017175558,72.14063180098915,64.14427895221473,30.343930029094437,41.24028250758948,60.35423473733127,70.28395872435324,33.33323358919698,73.86922655724152,68.2456991801078,57.50000379850886,53.29948571067171,70.5415809266106,37.20595734969817,80.83063041418065,54.35310086867996,47.72920744480485,83.88443115422376,71.28090029146126,61.72951006445051,44.062437833742,60.286237376223006,72.27876256347291,54.88108276072713,76.14208857525603,66.89074011544616,75.11527635451665,29.136153514123606,73.8381373475208,54.42951087461455,44.74712494238065,66.8867381538424,36.197958128526395
2021-04-23,67.5417014225689,69.86856422796717,61.6615131749188,26.70960179419596,45.54596971304296,61.660074162500365,72.0952409670343,39.24423083426966,69.36327962117794,67.89473198127023,61.47591972399672,52.33170921274573,65.75353771414356,42.630065797031975,79.0209228369047,58.661284656764515,40.62201718103722,82.47998536937595,68.82797205528406,57.34394750999204,40.74356895695945,62.083309839097005,64.65387947666926,42.44003826001167,77.35688407551325,67.86293783519301,75.11524531300384,36.3501025377726,73.37996985149488,57.623469809263,35.523299596984415,71.6831968326985,43.4415479945592
2021-04-26,67.66296265863676,70.16968254106315,66.69370094077073,34.36574885715427,48.022552614541326,69.48361234034928,66.40349165725269,41.990663737748335,60.79465786198108,66.75393203447209,59.20000116690199,54.49731547391382,69.56353877859652,45.61170971493778,57.14285714285714,60.269544156507614,46.0481135732888,67.64937498302814,71.88999570773105,51.953523860332545,39.307731483727025,65.03997826479679,48.59999550632485,33.79923914964924,76.15248898575724,74.77763158102407,61.05349525398289,42.66119928602441,63.06914914066813,61.06645269179426,27.21207706479578,71.42860066395905,45.31257671723867
2021-04-27,64.27638624789631,67.51185735792487,63.59999951893531,38.06375112639432,48.81783693691376,61.642929421023865,59.79726183814775,44.45269371471913,55.00624470510144,64.29651448661451,55.39882157563073,52.55108077761609,60.53883451869168,41.179346484649415,54.57315248002466,49.78886607052857,36.178896405147015,48.6588231307118,70.35417184975309,49.34806929797141,41.44448909509371,61.93319831196772,47.69510974302888,32.41237613572878,73.01582815969022,67.9687632953273,61.63528958864948,42.08390473867366,62.85721928342512,63.768075318451885,23.638038956225344,73.56750110851227,48.80318308483438
2021-04-28,57.63768648554698,76.52685506480168,65.05693248629723,29.261551090813683,52.36048826534063,64.24053303902878,67.10755004348573,57.44250862953634,56.14480037352309,65.64773594670011,58.225502094974445,44.292270108257576,67.9147846738458,43.3255712026221,57.508108757458054,46.24369025573574,42.189972359947795,50.542559597220006,51.943003556470295,46.58501879422663,43.92142388636681,59.37300484302426,46.90514190548887,30.874702951346364,82.01912334732847,68.73412814124481,48.039227882069554,51.81160756932659,62.542441464134825,68.65156284372023,31.888582797673706,73.40137438933539,62.22477337517535
2021-04-29,51.29453889562045,73.8559279855715,60.5757933375537,31.706771429202846,57.19794004878275,62.42312896568672,68.65544368343019,62.1638577775343,61.64541345938868,63.9327556293491,57.316078050241835,40.48790027770841,69.28083942951412,47.67597253489261,64.43843457395826,45.78893692379205,64.26780065374348,52.60027741854741,44.96382881348968,46.31143924834687,45.65653060203597,59.093391030968384,55.05528877924138,38.71768958226712,82.19037005966281,71.49648731616495,53.93815351566894,56.2796202888502,68.43711345589603,66.74178620217188,47.8801578380535,75.00005353284668,66.45223644347462
2021-04-30,50.5850739662317,75.90786660568573,59.460094096873995,32.58529041491539,52.83474723150523,57.80180499298412,64.0275253605517,53.38583076116445,65.77040418661619,65.97789492555569,55.98034570637311,38.96718998672587,66.50599165581775,45.6325936224012,58.181944454994614,51.8931916720624,60.701846904537,48.42686676796555,44.4211034253362,49.33327725437415,41.84917058203087,47.82722933277032,54.279312083356665,40.352311629209005,82.07079977878024,64.5962792590029,51.897359208782255,52.83647516156218,72.04303872849582,65.50039372754054,52.82165783429773,67.25806201143142,58.16135244122548
