Date,AAPL_ma50,AMT_ma50,AMZN_ma50,BA_ma50,BAC_ma50,BHP_ma50,COR_ma50,CVX_ma50,DUK_ma50,DVA_ma50,ECL_ma50,GE_ma50,GOOGL_ma50,JPM_ma50,KO_ma50,LLY_ma50,META_ma50,MMM_ma50,MSFT_ma50,NEE_ma50,NKE_ma50,NVDA_ma50,PEP_ma50,PG_ma50,PLD_ma50,RIO_ma50,SBUX_ma50,SLB_ma50,SO_ma50,SPG_ma50,VZ_ma50,WFC_ma50,XOM_ma50
2020-05-08,66.13687141418457,211.4532501220703,103.8956999206543,157.86779861450196,20.649180870056153,29.500460815429687,81.43082046508789,68.33099922180176,71.78857032775879,75.3161996459961,167.04301010131837,45.33633987426758,61.33303001403809,84.28510757446288,41.37476943969727,135.80184143066407,175.86680358886719,120.17648422241211,157.2695458984375,53.35384048461914,80.0910415649414,65.91951751708984,114.62125900268555,104.22093200683594,74.19419860839844,31.670964889526367,65.21362350463868,15.468331832885742,47.70210266113281,54.82809326171875,44.91733245849609,26.997469444274902,34.11667270660401
2020-05-11,66.34413581848145,211.67861328125,104.42094985961914,154.9437989807129,20.54530475616455,29.47280097961426,81.5505502319336,68.33150077819825,71.61827812194824,75.38639953613281,167.35116989135742,44.760325775146484,61.397369918823244,83.83830841064453,41.24254661560059,136.41562301635742,176.28056427001954,120.11758239746094,157.74658233642577,53.238181838989256,80.12078735351562,66.18138916015624,114.67904922485351,104.27253051757812,74.29023773193359,31.681445808410643,65.17437057495117,15.288034439086914,47.62488258361817,53.751144638061525,44.963127059936525,26.716712455749512,34.02370838165283
2020-05-12,66.40969078063965,211.53184326171876,104.82394989013672,151.66279922485353,20.412931938171386,29.417121276855468,81.57745193481445,68.23972938537598,71.36741905212402,75.31999954223633,167.4177574157715,44.120339965820314,61.38622993469238,83.24295135498046,41.055051956176754,136.88665603637696,176.5534747314453,119.92460159301758,157.93407928466797,53.053984298706055,80.03596405029298,66.35914276123047,114.61265396118164,104.19562927246093,74.23002899169921,31.660302085876467,65.0342138671875,15.08957763671875,47.48215293884277,52.6000764465332,44.94279930114746,26.39690727233887,33.87847904205322
2020-05-13,66.50313804626465,211.3407760620117,105.28287994384766,148.48039932250975,20.291594734191893,29.369539909362793,81.54486740112304,68.14461540222167,71.13470863342285,75.34859954833985,167.39012313842773,43.495085830688474,61.39683982849121,82.67469467163086,40.84956039428711,137.40956329345704,176.93726776123046,119.77155899047851,158.22805450439452,52.89434951782226,79.94173721313477,66.58493560791015,114.582099609375,104.13241638183594,74.12465728759766,31.6496284866333,64.95015579223633,14.886488285064697,47.310571823120114,51.4708642578125,44.93861457824707,26.080516471862794,33.738917961120606
2020-05-14,66.54038475036621,210.9584228515625,105.6958999633789,145.26839935302735,20.173950729370116,29.305523223876953,81.42456939697266,68.00286293029785,70.82280250549316,75.25739959716798,167.17257431030274,42.850144424438476,61.37209983825684,82.11771697998047,40.589746170043945,137.7644595336914,177.23794891357423,119.46967086791992,158.42056579589843,52.66654106140137,79.80279571533202,66.76787185668945,114.43286880493164,103.95255432128906,73.95221618652344,31.61414379119873,64.8569482421875,14.683028335571288,47.08909454345703,50.33151580810547,44.89647338867187,25.776590270996095,33.58724193572998
2020-05-15,66.6165699005127,210.66095123291015,106.18164993286133,142.4609994506836,20.07730167388916,29.278331604003906,81.40961746215821,67.86863258361817,70.51763053894042,75.22019958496094,167.10289199829103,42.28634284973145,61.430399856567384,81.63595611572265,40.36033447265625,138.13987701416016,177.75160400390624,119.25621719360352,158.74636901855467,52.44638854980469,79.73390060424805,67.09846282958985,114.39446701049805,103.83925704956054,73.84906784057617,31.623063163757323,64.82727890014648,14.499951419830323,46.84456047058106,49.24538116455078,44.86652450561523,25.504872016906738,33.468253211975096
2020-05-18,66.74717536926269,210.49220062255858,106.70682006835938,139.9231997680664,20.026986389160157,29.325567169189455,81.48232849121094,67.84504127502441,70.29478141784668,75.19759963989257,167.313182220459,41.90103744506836,61.51983985900879,81.34009857177735,40.18704719543457,138.46633697509765,178.39292388916016,119.18271728515624,159.19659088134765,52.28064743041992,79.78533264160156,67.51690872192383,114.36338851928711,103.75458740234374,73.87916320800781,31.69753246307373,64.85160552978516,14.39062406539917,46.644190063476564,48.26108184814453,44.857664260864254,25.30352394104004,33.44426387786865
2020-05-19,66.98035850524903,210.47534637451173,107.35554000854492,137.98859985351564,20.032054138183593,29.480636863708497,81.61134536743164,68.01664344787598,70.11978004455567,75.25779968261719,167.65538772583008,41.65483604431152,61.67844985961914,81.27187652587891,40.06570320129394,138.87750091552735,179.3395196533203,119.2552101135254,159.83334594726563,52.140380477905275,79.92734451293946,68.0490241241455,114.39143096923829,103.7026058959961,74.01611221313476,31.839251022338868,64.95214324951172,14.3869181060791,46.50915893554688,47.529865493774416,44.843745727539066,25.158454208374025,33.49208316802979
2020-05-20,67.14983726501465,210.24375579833983,107.9616600036621,136.03480010986328,20.019384727478027,29.606495018005372,81.74634124755859,68.17352897644042,69.93715019226075,75.30279968261719,167.88693588256837,41.355701217651365,61.812439880371095,81.12260238647461,39.93668617248535,139.11719970703126,180.3740219116211,119.194462890625,160.3205487060547,52.03584106445312,80.01658157348633,68.53599021911621,114.3399903869629,103.58462020874023,74.14173873901368,31.93255027770996,65.01346450805664,14.387288627624512,46.39814064025879,46.64660926818848,44.81677528381348,24.976980323791505,33.538397331237796
2020-05-21,67.35600471496582,210.17507232666014,108.58753997802734,135.0332000732422,20.023547554016112,29.763273773193358,81.8932258605957,68.34672828674316,69.8075868988037,75.37999969482422,168.16076095581056,41.14273712158203,62.008289947509766,81.03657501220704,39.82034210205078,139.36288024902345,181.59572540283204,119.19473480224609,160.90523712158202,51.979515380859375,80.21347869873047,69.05694297790528,114.34820663452149,103.59864562988281,74.38324478149414,32.06152687072754,65.20116264343261,14.394885940551758,46.335120391845706,45.92600395202637,44.81227752685547,24.844001159667968,33.59456722259522
